{timestamp: 2018-11-28T12:01:34.280Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:02:32.927Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:06:50.965Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:07:18.974Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:07:43.345Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:09:19.850Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:09:34.011Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:13:02.834Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:14:50.469Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:16:21.655Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:17:07.499Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:18:19.828Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:19:05.550Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:20:24.439Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:22:01.325Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:23:31.492Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:23:58.377Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:31:31.095Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:31:40.012Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:33:05.515Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:33:33.124Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:34:45.000Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:35:22.565Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:37:44.796Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:38:09.695Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:38:17.841Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:43:58.301Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:44:47.178Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:45:44.932Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:46:33.098Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:47:26.100Z, level: info, message: server started on port 4040 (development)}
