{timestamp: 2018-11-28T11:56:24.527Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T11:58:14.309Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:00:55.125Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:01:34.279Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:02:32.927Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:06:50.964Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:07:18.974Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:07:43.344Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:09:19.850Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:09:34.010Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:13:02.833Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:14:50.468Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:16:21.654Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:17:07.498Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:18:19.828Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:19:05.549Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:20:24.439Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:22:01.324Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:23:31.491Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:23:58.376Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:31:31.095Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:31:40.012Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:33:05.514Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:33:33.123Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:34:45.000Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:35:22.564Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:37:44.795Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:38:09.695Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:38:17.841Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:43:58.301Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:44:47.177Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:45:44.932Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:46:33.097Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:47:26.099Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:47:32.232Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:48:50.216Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:49:06.720Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:50:23.969Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:53:31.237Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T12:57:45.557Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:05:28.965Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:08:47.250Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:10:46.880Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:11:34.970Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:13:51.523Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:15:05.464Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:15:54.672Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:16:28.208Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:16:52.110Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:17:34.928Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:17:57.507Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-28T13:18:34.917Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:26:09.281Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:27:35.742Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:29:12.214Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:29:21.536Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:31:14.741Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:31:16.736Z, level: error, message: Can't set headers after they are sent.}
{timestamp: 2018-11-29T06:32:19.835Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:32:45.374Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:34:20.328Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:34:23.447Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:34:54.549Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:35:58.723Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:36:11.242Z, level: error, message: API not found}
{timestamp: 2018-11-29T06:36:11.472Z, level: error, message: API not found}
{timestamp: 2018-11-29T06:36:31.179Z, level: error, message: API not found}
{timestamp: 2018-11-29T06:36:31.184Z, level: error, message: API not found}
{timestamp: 2018-11-29T06:41:15.275Z, level: error, message: API not found}
{timestamp: 2018-11-29T06:41:15.317Z, level: error, message: API not found}
{timestamp: 2018-11-29T06:49:25.772Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:51:15.229Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T06:52:02.872Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:13:33.525Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:15:23.910Z, level: error, message: Cannot read property 'token' of undefined}
{timestamp: 2018-11-29T07:16:18.472Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:16:22.159Z, level: error, message: Cannot read property 'token' of undefined}
{timestamp: 2018-11-29T07:26:32.083Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:26:59.716Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:27:09.885Z, level: error, message: _service2.default.create is not a function}
{timestamp: 2018-11-29T07:28:08.731Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:28:13.842Z, level: error, message: Cannot read property 'token' of undefined}
{timestamp: 2018-11-29T07:28:42.041Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:28:44.375Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:30:04.229Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:30:39.512Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:31:25.609Z, level: error, message: Cannot read property 'token' of undefined}
{timestamp: 2018-11-29T07:32:03.528Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:32:09.531Z, level: error, message: Cannot read property 'token' of undefined}
{timestamp: 2018-11-29T07:32:54.759Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:35:09.342Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:35:22.022Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:35:29.498Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:38:08.877Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T07:38:23.423Z, level: error, message: Cannot read property 'token' of undefined}
{timestamp: 2018-11-29T08:29:25.408Z, level: info, message: server started on port 4040 (development)}
{timestamp: 2018-11-29T08:30:45.906Z, level: info, message: server started on port 4040 (development)}
